Generation,Fitness
Gen1,156
Gen1,33
Gen1,111
Gen1,260
Gen1,240
Gen1,105
Gen2,540
Gen2,114
Gen2,354
Gen2,450
Gen2,460
Gen2,440
Gen1,192
Gen1,117
Gen1,234
Gen1,93
Gen1,310
Gen1,186
Gen2,324
Gen2,480
Gen2,530
Gen2,126
Gen2,310
Gen2,180
Gen1,237
Gen1,420
Gen1,510
Gen1,190.5
Gen1,309
Gen1,321
Gen2,357
Gen2,520
Gen2,590
Gen2,372
Gen2,515
Gen2,670
Gen1,201
Gen1,180
Gen1,177
Gen1,117
Gen1,108
Gen1,198
Gen2,0
Gen2,146
Gen2,570
Gen2,348
Gen2,180
Gen2,700
Gen1,156
Gen1,290
Gen1,516
Gen1,0
Gen1,415
Gen1,196.5
Gen2,261
Gen2,83
Gen2,246
Gen2,560
Gen2,500
Gen2,67
Gen1,40
Gen1,123
Gen1,246
Gen1,96
Gen2,41
Gen2,147
Gen2,234
Gen2,216